name,label,pathname
Reshamachya Reghanni  Lal Kalya Dhagyani - Asha Bhosale,3,songs/song_40_mfcc.csv
Jana Gana Mana All Vocals,4,songs/song_41_mfcc.csv
Jana Gana Mana (HD) - National Anthem With Lyrics - Best Patriotic Song,4,songs/song_42_mfcc.csv
"जन गण मन I Jan Gan Man I MAHENDRA KAPOOR I राष्ट्र गान, राष्ट्रीय गीत, Independence Day Special 2018",4,songs/song_43_mfcc.csv
Jana Gana Mana | National Anthem | Independence Day Special | Full Song | Bapu  | WowKidz,4,songs/song_44_mfcc.csv
Jana Gana Mana All India Muslim league national anthem Original version,4,songs/song_45_mfcc.csv
JANA GANA MANA 🇮🇳 Indian National Anthem LYRICAL 🇮🇳Independence Day Special 🇮🇳 Suprabha KV,4,songs/song_46_mfcc.csv
Indian National Anthem | Jana Gana Mana | Vocals and Lyrics,4,songs/song_47_mfcc.csv
Indian National Anthem | Instrumental,4,songs/song_48_mfcc.csv
Jana Gana Mana 52 seconds  (National Anthem of India),4,songs/song_49_mfcc.csv
National Anthem by Symphony Orchestra of India,4,songs/song_50_mfcc.csv
Jeevanat hee ghadi - Kamapurta Mama,5,songs/song_51_mfcc.csv
"Dev Jari Maj Kadhi Bhetala - Asha Bhosle, Molkarin, Song 1",5,songs/song_52_mfcc.csv
Kokil Kuhu Kuhu Bole - Lata Mangeshkar | Kanyadaan | Marathi Movie Romantic Song,5,songs/song_53_mfcc.csv
"Dhund Ekant Ha - Anolkhi Marathi Movie | Juni Marathi Gani | Asha Bhosle, Sudhir Phadke",5,songs/song_54_mfcc.csv
"Pratham Tuzh Pahata - Arun Sarnaik, Ramdas Kamat, Mumbaicha Jawai Song",5,songs/song_55_mfcc.csv
CHANDANYAT PHIRTANA ASHA BHOSALE ORIGINAL,5,songs/song_56_mfcc.csv
काटा रुते कुणाला - Kata Rute Kunala - Pt. Jitendra Abhisheki,5,songs/song_57_mfcc.csv
Mendichya Panavar,5,songs/song_58_mfcc.csv
Vadal Vara Sutala Ga,5,songs/song_59_mfcc.csv
Man Mandira - Shivam Mahadevan | Katyar Kaljat Ghusli | Shankar Mahadevan & Sachin Pilgaonkar,5,songs/song_60_mfcc.csv
